Slytherin,Ravenclaw,Gryffindor,Hufflepuff
-0.003090126817416998,-0.002002166412881292,-0.002456623360895828,-0.0016362994707759169
-0.0020562823959993314,-0.00251121678613525,0.0021992687972865314,0.0024708559404794665
-0.0017962921103508707,0.0023657481166003825,-0.0024289947889775104,0.002829491856118395
-0.0035618554876338335,0.0015162664676149366,0.0009158317206783137,0.0013639056043138298
-0.0009254780537873072,0.003825705583613414,-0.0013980587111332046,-0.0015260261273859076
-0.0017515643555722877,0.0025216156039627393,0.0018106249676848886,-0.003113268755230889
0.0011017751199836074,0.001433613002763227,-0.003937140540405999,0.002131792646700212
0.0012691412850418505,0.0014635910114311965,-0.003985673960726801,0.002172327365716445
0.002204414774793855,0.0007777611419316837,-0.0022262594828077044,-0.0005384199022918197
-0.0010944381136892701,0.004037724663625099,-0.0025628276840671776,0.0001611941055072675
-0.0019910364100736767,-0.0008368045986266142,0.003913066458031221,-0.0014828607559849811
